ppm,Treatment,Block,Sub group,Herbicide,Depth,Week
0.805,2,3,c,dicamba,2,2
0.215,3,3,a,dicamba,1,2
0.2775,3,3,a,dicamba,2,2
0.1725,3,3,b,dicamba,1,2
0.0725,3,3,b,dicamba,2,2
0.325,3,3,c,dicamba,1,2
0.315,3,3,c,dicamba,2,2
0.135,4,3,a,dicamba,1,2
0.39,4,3,a,dicamba,2,2
0.085,4,3,b,dicamba,1,2
0.3475,4,3,b,dicamba,2,2
0.2225,4,3,c,dicamba,1,2
0.26,4,3,c,dicamba,2,2
0.500606667,1,1,a,s-metolachlor,1,2
0.696641667,1,1,a,s-metolachlor,2,2
0.378116667,1,1,b,s-metolachlor,1,2
0.530268333,1,1,b,s-metolachlor,2,2
0.453693333,1,1,c,s-metolachlor,1,2
1.202003333,1,1,c,s-metolachlor,2,2
0.671145,2,1,a,s-metolachlor,1,2
0.788731667,2,1,a,s-metolachlor,2,2
0.501571667,2,1,b,s-metolachlor,1,2
1.068836667,2,1,b,s-metolachlor,2,2
0.834406667,2,1,c,s-metolachlor,1,2
0.418508333,2,1,c,s-metolachlor,2,2
0.518716667,3,1,a,s-metolachlor,1,2
0.286976667,3,1,a,s-metolachlor,2,2
0.486723333,3,1,b,s-metolachlor,1,2
0.253021667,3,1,b,s-metolachlor,2,2
0.470795,3,1,c,s-metolachlor,1,2
0.420516667,3,1,c,s-metolachlor,2,2
0.165381667,4,1,a,s-metolachlor,1,2
0.646456667,4,1,a,s-metolachlor,2,2
0.339553333,4,1,b,s-metolachlor,1,2
0.593363333,4,1,b,s-metolachlor,2,2
0.191148333,4,1,c,s-metolachlor,1,2
0.554285,4,1,c,s-metolachlor,2,2
0.47669,1,2,a,s-metolachlor,1,2
0.98613,1,2,a,s-metolachlor,2,2
0.604276667,1,2,b,s-metolachlor,1,2
0.646425,1,2,b,s-metolachlor,2,2
0.311533333,1,2,c,s-metolachlor,1,2
0.545405,1,2,c,s-metolachlor,2,2
0.436721667,2,2,a,s-metolachlor,1,2
0.753996667,2,2,a,s-metolachlor,2,2
0.373855,2,2,b,s-metolachlor,1,2
0.671098333,2,2,b,s-metolachlor,2,2
0.438296667,2,2,c,s-metolachlor,1,2
0.585663333,2,2,c,s-metolachlor,2,2
0.681326667,3,2,a,s-metolachlor,1,2
0.77364,3,2,a,s-metolachlor,2,2
