ppm,Treatment,Block,Sub group,Herbicide,Depth,Week
0.00508175,2,2,a,s-metolachlor,2,7
0.00907775,2,2,b,s-metolachlor,1,7
0.01262125,2,2,b,s-metolachlor,2,7
0.00563225,2,2,c,s-metolachlor,1,7
0.01058875,2,2,c,s-metolachlor,2,7
0.00983775,3,2,a,s-metolachlor,1,7
0.015249,3,2,a,s-metolachlor,2,7
0.011259,3,2,b,s-metolachlor,1,7
0.0124505,3,2,b,s-metolachlor,2,7
0.01046275,3,2,c,s-metolachlor,1,7
0.011253,3,2,c,s-metolachlor,2,7
0.0097285,4,2,a,s-metolachlor,1,7
0.01565525,4,2,a,s-metolachlor,2,7
0.0117905,4,2,b,s-metolachlor,1,7
0.01101675,4,2,b,s-metolachlor,2,7
0.0149625,4,2,c,s-metolachlor,1,7
0.0236235,4,2,c,s-metolachlor,2,7
0.012461,1,3,a,s-metolachlor,1,7
0.01159075,1,3,a,s-metolachlor,2,7
0.015587,1,3,b,s-metolachlor,1,7
0.01846125,1,3,b,s-metolachlor,2,7
0.008308,1,3,c,s-metolachlor,1,7
0.0113705,1,3,c,s-metolachlor,2,7
0.01354625,2,3,a,s-metolachlor,1,7
0.01853225,2,3,a,s-metolachlor,2,7
0.01601225,2,3,b,s-metolachlor,1,7
0.0182735,2,3,b,s-metolachlor,2,7
0.01714975,2,3,c,s-metolachlor,1,7
0.01992525,2,3,c,s-metolachlor,2,7
0.00413175,3,3,a,s-metolachlor,1,7
0.021082,3,3,a,s-metolachlor,2,7
0.00389725,3,3,b,s-metolachlor,1,7
0.02152825,3,3,b,s-metolachlor,2,7
0.01058025,3,3,c,s-metolachlor,1,7
0.01879425,3,3,c,s-metolachlor,2,7
0.0086605,4,3,a,s-metolachlor,1,7
0.0053,4,3,a,s-metolachlor,2,7
0.0077015,4,3,b,s-metolachlor,1,7
0.0029005,4,3,b,s-metolachlor,2,7
0.022229,4,3,c,s-metolachlor,1,7
0.03175275,4,3,c,s-metolachlor,2,7
